"question_id","question","answer1","answer2","answer3","answer4","correct_answer","topic_id","active","elo_rating","created_at"
"1","hi","d","d","dd","d","2","1","true","862","2025-05-04 12:35:10.526983"
"2","Koja je glavni grad Francuske?","Berlin","Pariz","Rim","Amsterdam","2","2","true","779","2025-05-05 18:17:57.21693"
"3","Koji je najduži planinski lanac u Europi?","Alpe","Karpati","Pirineji","Kavkaz","1","2","true","792","2025-05-05 18:18:00.529959"
"4","Koja je država u Europi koja ima najviše stanovnika?","Njemačka","Rusija","Francuska","Italija","2","2","true","814","2025-05-05 18:18:03.18595"
"5","Koji je najveći otok u Mediteranu?","Sicilija","Sardinija","Kreta","Korzika","1","2","true","829","2025-05-05 18:18:05.465767"
"6","Koji je grad u Europi koji se naziva ""Grad na vodi""?","Amsterdam","Venecija ","Pariz","Rim","2","2","true","781","2025-05-05 18:18:21.362099"
"7","Koja je država u Europi koja ima najdužu obalu na Mediteranu?","Italija","Grčka","Španjolska","Francuska","1","2","true","807","2025-05-05 18:18:43.381766"
"8","Koji je najviši vrh u Alpama?","Mont Blanc","Matterhorn","Eiger","Jungfrau","1","2","true","780","2025-05-05 18:18:45.472104"
"9","Koji je najveći rijeka u Europi?","Dunav","Rajna","Volga","Loire","3","2","true","789","2025-05-05 18:18:47.2997"
"10","Koja je država u Europi koja ima najviše jezera?","Finska","Švedska","Norveška","Danska","1","2","true","774","2025-05-05 18:18:52.116809"
"11","Koji je najveći poluotok u Europi?","Apenninski","Iberski","Balkanski","Skandinavski","2","2","true","836","2025-05-05 18:19:00.137364"
"12","Koji je najširi vodeni tok koji dijeli Europu od Afrike?","Sredozemno more","Crno more","Baltičko more","Gibraltarski tjesnac","4","2","true","863","2025-05-05 18:19:13.158022"
"13","Koji je najveći grad u Skandinaviji?","Stockholm","Oslo","Kopenhagen","Helsinki","1","2","true","813","2025-05-05 18:19:16.474681"
"14","Koji je najveći grad u Europi?","Berlin","London","Paris","Istanbul","4","2","true","780","2025-05-05 18:19:32.730935"
"15","Koji je poluotok u Europi gdje se nalaze zemlje kao što su Španjolska i Portugal?","Apeninski","Balkanski","Iberski","Skandinavski","3","2","true","792","2025-05-05 18:19:37.195653"
"16","Koji je europski planinski lanac koji se nalazi u Švicarskoj?","Alpe","Karpati","Pireneji","Apennini","1","2","true","815","2025-05-05 18:19:51.458808"
"17","Koji je europski grad koji se naziva ""Mletačka republika""?","Rim","Venecija","Firenca","Milano","2","2","true","781","2025-05-05 18:19:56.548396"
"18","Koji je najveći zaljev u Europi?","Baskijski zaljev","Crno more","Mediteran","Sredozemno more","1","2","true","781","2025-05-05 18:20:22.4527"
"19","Koja je država u Europi koja ima najviše autonomnih pokrajina?","Francuska","Španjolska","Italija","Njemačka","2","2","true","786","2025-05-05 18:20:28.716962"
"20","Koji je europski grad koji se naziva ""Grad sjevernog sjaja""?","Stockholm","Helsinki","Oslo","Kopenhagen","1","2","true","785","2025-05-05 18:20:34.944955"
"21","Koji je najveći otok u Baltičkom moru?","Gotland","Öland","Rügen","Sjælland","1","2","true","788","2025-05-05 18:20:43.198503"
"22","Koja je europska zemlja koja ima najviše različitih jezika?","Francuska","Španjolska","Italija","Švicarska","4","2","true","784","2025-05-05 18:20:47.372756"
"23","Koja je država u Europi koja ima najviše otočja?","Grčka","Italija","Španjolska","Danska","1","2","true","784","2025-05-05 18:21:02.912268"
"24","Koja je planina u Europi koja se nalazi na granici Francuske i Španjolske?","Alpe","Pireneji","Karpati","Apennini","2","2","true","786","2025-05-05 18:21:17.288209"
"25","Koji je europski grad koji je glavni grad Danske?","Oslo","Stockholm","Kopenhagen","Helsinki","3","2","true","785","2025-05-05 18:21:18.755462"
"26","Koja je europska zemlja koja ima najdužu granicu s Rusijom?","BiH","Srbija","Ukrajina","Norveška","3","2","true","799","2025-05-05 18:21:23.080192"
"27","Koji je najveći kontinent na Zemlji?","Afrika","Azija","Europa","Amerika","2","3","true","784","2025-05-07 11:57:58.041134"
"28","Koliko ima oceana na Zemlji?","3","4","5","6","3","3","true","787","2025-05-07 11:58:20.859802"
